J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time,source_file,solver,resolved_before_SAT,SAT_identifiable,SAT_nonidentifiable,direct_identity_branch,two_col_branch,three_col_branch
50,5,10,0.3,7,3,0.0001051209401339,4.7699082642793655e-05,8.647795766592026e-05,0.0001044210512191,6.116810254752636e-05,0.0,5,0.0004077460616827,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004048871342092,0.0004198211245238,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,4,9.953510016202928e-05,4.740501753985882e-05,8.606119081377983e-05,0.0001220169942826,6.883079186081886e-05,0.0,5,0.0004271180368959,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000423849094659,0.0004862521309405,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,5,0.0001080119982361,4.736497066915035e-05,8.552893996238708e-05,0.0001246379688382,6.815604865550995e-05,0.0,5,0.0004366380162537,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004336999263614,0.0004792420659214,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,6,9.826105087995528e-05,4.6615954488515854e-05,8.612684905529022e-05,0.0001207760069519,6.768014281988144e-05,0.0,5,0.0004224530421197,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004194600041955,0.0004840530455112,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,7,9.608804248273373e-05,4.772702232003212e-05,8.534989319741726e-05,0.000122106866911,6.856000982224941e-05,0.0,5,0.0004229329060763,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004198318347334,0.0004817661829292,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,8,9.850994683802128e-05,4.704785533249378e-05,8.607306517660618e-05,0.000122097088024,6.791297346353531e-05,0.0,5,0.0004245659802109,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004216409288346,0.0005001060198992,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,9,9.74640715867281e-05,4.725297912955284e-05,8.551799692213535e-05,0.0001227748580276,6.783008575439453e-05,0.0,5,0.0004238451365381,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004208399914205,0.0004897539038211,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,0,0.000143899815157,9.869784116744996e-05,0.0001142378896474,0.0001479929778724,0.0001421300694346,0.0,5,0.0006530310492962,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006469585932791,0.0005429862067103,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,1,0.0001276249531656,5.643395707011223e-05,9.520398452877998e-05,0.0001247918698936,8.527492173016071e-05,0.0,5,0.0004936561454087,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004893296863883,0.0005027609877288,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,2,0.0001346850767731,5.628308281302452e-05,0.0001024580560624,0.0001182800624519,7.80029222369194e-05,0.0,5,0.0004933369345963,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004897092003375,0.0004926931578665,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,3,0.0002176051493734,5.6655844673514366e-05,0.0001385200303047,0.0001221729908138,7.999502122402191e-05,0.0033006209414452,7,0.0039210608229041,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,30,0.0006149490363895,0.0005991579964756,solver1_J50_K5_p0.3_seed80_diag.csv,1,0,1,0,0,0,0
50,5,10,0.3,80,4,0.0001338669098913,5.587004125118256e-05,0.0001036878675222,0.0001190800685435,7.81139824539423e-05,0.0,5,0.0004944070242345,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004906188696622,0.0004908561240881,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,5,0.0001237958204001,5.42511697858572e-05,0.0001026447862386,0.0001302279997617,7.68930185586214e-05,0.0,5,0.000491069862619,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004878127947449,0.0004930889699608,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,6,0.0001241092104464,5.4606935009360313e-05,0.0001033148728311,0.0001184979919344,7.604807615280151e-05,0.0,5,0.0004800450988113,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004765770863741,0.000498475972563,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,7,0.0001535869669169,5.3042080253362656e-05,0.0001209729816764,0.0001193569041788,7.52138439565897e-05,0.0030297089833766,7,0.003556665033102,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,29,0.0005221727769821,0.0005903400015085,solver1_J50_K5_p0.3_seed80_diag.csv,1,0,1,0,0,0,0
50,5,10,0.3,80,8,0.0001292969100177,5.442905239760876e-05,0.0001038559712469,0.0001187568996101,7.761688902974129e-05,0.0,5,0.0004873359575867,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004839557223021,0.0004970012232661,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,80,9,0.0001182910054922,5.342788062989712e-05,0.0001017570029944,0.0001386618241667,7.75789376348257e-05,0.0,5,0.0004931390285491,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004897166509181,0.0004901438951492,solver1_J50_K5_p0.3_seed80_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,0,0.0001493720337748,9.913300164043903e-05,0.0001146448776125,0.0001551620662212,0.0001324671320617,0.0,5,0.0006555740255862,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006507791113108,0.0005970830097794,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,1,0.0001208500470966,5.747680552303791e-05,9.351992048323154e-05,0.0001133291516453,7.845880463719368e-05,0.0,5,0.0004676580429077,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004636347293853,0.0005238140001893,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,2,0.0001308291684836,5.91999851167202e-05,0.0001027670223265,0.0001330808736383,7.770606316626072e-05,0.0,5,0.0005073281936347,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005035831127315,0.000506498850882,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,3,0.0001796009019017,5.8930832892656326e-05,0.0001118369400501,0.0001234801020473,7.796403951942921e-05,0.0,5,0.0005556831602007,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005518128164112,0.0005107279866933,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,4,0.0001294801477342,5.687098018825054e-05,0.0001023488584905,0.000122474040836,7.589091546833515e-05,0.0,5,0.0004907380789518,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004870649427175,0.0005422830581665,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,5,0.0001248528715223,5.840300582349301e-05,0.0001034461893141,0.000124457059428,7.716193795204163e-05,0.0,5,0.0004921071231365,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00048832106404,0.0005211317911744,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,6,0.0001404720824211,5.88749535381794e-05,0.0001028741244226,0.0001232670620083,7.57009256631136e-05,0.0,5,0.0005047330632805,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005011891480535,0.0005090299528092,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,81,7,0.0001261339057236,5.746493116021156e-05,0.000102604040876,0.0001354501582682,7.749092765152454e-05,0.0,5,0.0005027749575674,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004991439636796,0.0005123380105942,solver1_J50_K5_p0.3_seed81_diag.csv,1,1,0,0,1,0,0
